tweet_id,followers_count,friends_count,favorite_count,retweet_count,created_at
666020888022790149,8960779,17,2344,444,2015-11-15 22:32:08+00:00
666029285002620928,8960779,17,118,41,2015-11-15 23:05:30+00:00
666033412701032449,8960779,17,107,39,2015-11-15 23:21:54+00:00
666044226329800704,8960779,17,260,122,2015-11-16 00:04:52+00:00
666049248165822465,8960779,17,94,38,2015-11-16 00:24:50+00:00
666050758794694657,8960779,17,119,51,2015-11-16 00:30:50+00:00
666051853826850816,8960779,17,1087,742,2015-11-16 00:35:11+00:00
666055525042405380,8960779,17,398,211,2015-11-16 00:49:46+00:00
666057090499244032,8960779,17,263,118,2015-11-16 00:55:59+00:00
666058600524156928,8960779,17,103,50,2015-11-16 01:01:59+00:00
666063827256086533,8960779,17,434,189,2015-11-16 01:22:45+00:00
666071193221509120,8960779,17,134,52,2015-11-16 01:52:02+00:00
666073100786774016,8960779,17,282,140,2015-11-16 01:59:36+00:00
666082916733198337,8960779,17,101,41,2015-11-16 02:38:37+00:00
666094000022159362,8960779,17,152,66,2015-11-16 03:22:39+00:00
666099513787052032,8960779,17,140,57,2015-11-16 03:44:34+00:00
666102155909144576,8960779,17,69,11,2015-11-16 03:55:04+00:00
666104133288665088,8960779,17,13181,5749,2015-11-16 04:02:55+00:00
666268910803644416,8960779,17,93,32,2015-11-16 14:57:41+00:00
666273097616637952,8960779,17,156,69,2015-11-16 15:14:19+00:00
666287406224695296,8960779,17,131,57,2015-11-16 16:11:11+00:00
666293911632134144,8960779,17,450,307,2015-11-16 16:37:02+00:00
666337882303524864,8960779,17,174,81,2015-11-16 19:31:45+00:00
666345417576210432,8960779,17,266,128,2015-11-16 20:01:42+00:00
666353288456101888,8960779,17,192,63,2015-11-16 20:32:58+00:00
666362758909284353,8960779,17,694,496,2015-11-16 21:10:36+00:00
666373753744588802,8960779,17,168,76,2015-11-16 21:54:18+00:00
666396247373291520,8960779,17,153,72,2015-11-16 23:23:41+00:00
666407126856765440,8960779,17,98,31,2015-11-17 00:06:54+00:00
666411507551481857,8961294,17,391,284,2015-11-17 00:24:19+00:00
666418789513326592,8960779,17,110,40,2015-11-17 00:53:15+00:00
666421158376562688,8960778,17,291,97,2015-11-17 01:02:40+00:00
666428276349472768,8960778,17,149,72,2015-11-17 01:30:57+00:00
666430724426358785,8960778,17,288,172,2015-11-17 01:40:41+00:00
666435652385423360,8960778,17,147,45,2015-11-17 02:00:15+00:00
666437273139982337,8960778,17,110,42,2015-11-17 02:06:42+00:00
666447344410484738,8960778,17,94,18,2015-11-17 02:46:43+00:00
666454714377183233,8960778,17,468,191,2015-11-17 03:16:00+00:00
666644823164719104,8960778,17,217,73,2015-11-17 15:51:26+00:00
666649482315059201,8960778,17,1027,566,2015-11-17 16:09:56+00:00
666691418707132416,8960778,17,171,44,2015-11-17 18:56:35+00:00
666701168228331520,8960778,17,390,194,2015-11-17 19:35:19+00:00
666739327293083650,8960778,17,218,60,2015-11-17 22:06:57+00:00
666776908487630848,8960778,17,319,155,2015-11-18 00:36:17+00:00
666781792255496192,8960778,17,354,174,2015-11-18 00:55:42+00:00
666786068205871104,8960778,17,687,436,2015-11-18 01:12:41+00:00
666804364988780544,8960778,17,216,83,2015-11-18 02:25:23+00:00
666817836334096384,8960778,17,471,229,2015-11-18 03:18:55+00:00
666826780179869698,8960778,17,237,82,2015-11-18 03:54:28+00:00
666835007768551424,8960778,17,195,71,2015-11-18 04:27:09+00:00
