tweet_id,created_at,followers,friends,favorites,retweets,cleaned_name,dog_breed,dog_type,prediction_configuration,Rating
892177421306343426,2017-08-01 00:17:27,8960766.0,17.0,30380.0,5500.0,Tilly,Chihuahua,None,0.323581,13.0
891815181378084864,2017-07-31 00:18:03,8960766.0,17.0,22847.0,3635.0,Archie,Chihuahua,None,0.716012,12.0
891689557279858688,2017-07-30 15:58:51,8960766.0,17.0,38365.0,7562.0,Darla,Labrador_retriever,None,0.168086,13.0
891327558926688256,2017-07-29 16:00:24,8960766.0,17.0,36641.0,8147.0,Franklin,basset,None,0.555712,12.0
891087950875897856,2017-07-29 00:08:17,8960766.0,17.0,18483.0,2731.0,Not_Available,Chesapeake_Bay_retriever,None,0.425595,13.0
890971913173991426,2017-07-28 16:27:12,8960766.0,17.0,10746.0,1766.0,Jax,Appenzeller,None,0.34170300000000003,13.0
890729181411237888,2017-07-28 00:22:40,8960766.0,17.0,59095.0,16533.0,Not_Available,Pomeranian,None,0.566142,13.0
890609185150312448,2017-07-27 16:25:51,8960766.0,17.0,25426.0,3784.0,Zoey,Irish_terrier,None,0.487574,13.0
890240255349198849,2017-07-26 15:59:51,8960766.0,17.0,29017.0,6409.0,Cassie,Pembroke,doggo,0.511319,14.0
890006608113172480,2017-07-26 00:31:25,8960766.0,17.0,28001.0,6432.0,Koda,Samoyed,None,0.957979,13.0
889880896479866881,2017-07-25 16:11:53,8960766.0,17.0,25444.0,4365.0,Bruno,French_bulldog,None,0.377417,13.0
889665388333682689,2017-07-25 01:55:32,8960766.0,17.0,43700.0,8769.0,Not_Available,Pembroke,puppo,0.966327,13.0
889638837579907072,2017-07-25 00:10:02,8960766.0,17.0,24565.0,3918.0,Ted,French_bulldog,None,0.99165,12.0
889531135344209921,2017-07-24 17:02:04,8960766.0,17.0,13842.0,1977.0,Stuart,golden_retriever,puppo,0.953442,13.0
889278841981685760,2017-07-24 00:19:32,8960766.0,17.0,22921.0,4659.0,Oliver,whippet,None,0.626152,13.0
888917238123831296,2017-07-23 00:22:39,8960766.0,17.0,26544.0,3928.0,Jim,golden_retriever,None,0.714719,12.0
888804989199671297,2017-07-22 16:56:37,8960766.0,17.0,23293.0,3713.0,Zeke,golden_retriever,None,0.46976,13.0
888554962724278272,2017-07-22 00:23:06,8960766.0,17.0,17960.0,3025.0,Ralphus,Siberian_husky,None,0.700377,13.0
888078434458587136,2017-07-20 16:49:33,8960766.0,17.0,19865.0,3043.0,Gerald,French_bulldog,None,0.995026,12.0
887705289381826560,2017-07-19 16:06:48,8960766.0,17.0,27601.0,4727.0,Jeffrey,basset,None,0.821664,13.0
887473957103951883,2017-07-19 00:47:34,8960766.0,17.0,62510.0,15744.0,Canela,Pembroke,None,0.809197,13.0
887343217045368832,2017-07-18 16:08:03,8960766.0,17.0,30661.0,9236.0,Not_Available,Mexican_hairless,None,0.330741,13.0
887101392804085760,2017-07-18 00:07:08,8960766.0,17.0,27953.0,5227.0,Not_Available,Samoyed,None,0.733942,12.0
886983233522544640,2017-07-17 16:17:36,8961281.0,17.0,31648.0,6687.0,Maya,Chihuahua,None,0.793469,13.0
886736880519319552,2017-07-16 23:58:41,8960766.0,17.0,10885.0,2783.0,Mingus,kuvasz,None,0.309706,13.0
